seq,rtt_ms,transport,network,relayed
0,556.400,cloud-mqtt,lan,0
1,556.700,cloud-mqtt,lan,0
2,566.000,cloud-mqtt,lan,0
3,566.100,cloud-mqtt,lan,0
4,566.000,cloud-mqtt,lan,0
5,566.100,cloud-mqtt,lan,0
6,566.000,cloud-mqtt,lan,0
7,566.100,cloud-mqtt,lan,0
8,566.100,cloud-mqtt,lan,0
9,566.100,cloud-mqtt,lan,0
10,635.900,cloud-mqtt,lan,0
11,636.500,cloud-mqtt,lan,0
12,636.900,cloud-mqtt,lan,0
13,637.400,cloud-mqtt,lan,0
14,637.600,cloud-mqtt,lan,0
15,637.900,cloud-mqtt,lan,0
16,638.000,cloud-mqtt,lan,0
17,638.200,cloud-mqtt,lan,0
18,638.300,cloud-mqtt,lan,0
19,638.500,cloud-mqtt,lan,0
20,638.600,cloud-mqtt,lan,0
21,638.600,cloud-mqtt,lan,0
22,638.700,cloud-mqtt,lan,0
23,638.800,cloud-mqtt,lan,0
24,639.000,cloud-mqtt,lan,0
25,639.100,cloud-mqtt,lan,0
26,639.300,cloud-mqtt,lan,0
27,639.300,cloud-mqtt,lan,0
28,639.500,cloud-mqtt,lan,0
29,639.600,cloud-mqtt,lan,0
30,639.700,cloud-mqtt,lan,0
31,639.800,cloud-mqtt,lan,0
32,639.800,cloud-mqtt,lan,0
33,639.900,cloud-mqtt,lan,0
34,640.100,cloud-mqtt,lan,0
35,640.200,cloud-mqtt,lan,0
36,640.300,cloud-mqtt,lan,0
37,640.300,cloud-mqtt,lan,0
38,640.600,cloud-mqtt,lan,0
39,640.600,cloud-mqtt,lan,0
40,640.600,cloud-mqtt,lan,0
41,640.800,cloud-mqtt,lan,0
42,640.800,cloud-mqtt,lan,0
43,640.900,cloud-mqtt,lan,0
44,641.100,cloud-mqtt,lan,0
45,641.100,cloud-mqtt,lan,0
46,641.200,cloud-mqtt,lan,0
47,641.200,cloud-mqtt,lan,0
48,641.200,cloud-mqtt,lan,0
49,641.500,cloud-mqtt,lan,0
50,641.400,cloud-mqtt,lan,0
51,641.600,cloud-mqtt,lan,0
52,641.700,cloud-mqtt,lan,0
53,641.700,cloud-mqtt,lan,0
54,641.800,cloud-mqtt,lan,0
55,641.900,cloud-mqtt,lan,0
56,642.000,cloud-mqtt,lan,0
57,642.200,cloud-mqtt,lan,0
58,642.200,cloud-mqtt,lan,0
59,642.400,cloud-mqtt,lan,0
60,642.600,cloud-mqtt,lan,0
61,642.600,cloud-mqtt,lan,0
62,642.600,cloud-mqtt,lan,0
63,642.700,cloud-mqtt,lan,0
64,642.900,cloud-mqtt,lan,0
65,643.000,cloud-mqtt,lan,0
66,642.700,cloud-mqtt,lan,0
67,642.700,cloud-mqtt,lan,0
68,643.000,cloud-mqtt,lan,0
69,643.000,cloud-mqtt,lan,0
70,643.100,cloud-mqtt,lan,0
71,643.100,cloud-mqtt,lan,0
72,643.100,cloud-mqtt,lan,0
73,643.200,cloud-mqtt,lan,0
74,643.300,cloud-mqtt,lan,0
75,643.500,cloud-mqtt,lan,0
76,643.500,cloud-mqtt,lan,0
77,643.500,cloud-mqtt,lan,0
78,643.700,cloud-mqtt,lan,0
79,643.800,cloud-mqtt,lan,0
80,644.000,cloud-mqtt,lan,0
81,644.100,cloud-mqtt,lan,0
82,643.900,cloud-mqtt,lan,0
83,643.900,cloud-mqtt,lan,0
84,643.900,cloud-mqtt,lan,0
85,644.000,cloud-mqtt,lan,0
86,644.100,cloud-mqtt,lan,0
87,644.100,cloud-mqtt,lan,0
88,644.100,cloud-mqtt,lan,0
89,644.100,cloud-mqtt,lan,0
90,644.100,cloud-mqtt,lan,0
91,644.400,cloud-mqtt,lan,0
92,644.500,cloud-mqtt,lan,0
93,644.600,cloud-mqtt,lan,0
94,644.600,cloud-mqtt,lan,0
95,644.900,cloud-mqtt,lan,0
96,645.000,cloud-mqtt,lan,0
97,645.200,cloud-mqtt,lan,0
98,645.200,cloud-mqtt,lan,0
99,645.400,cloud-mqtt,lan,0
100,645.500,cloud-mqtt,lan,0
101,645.600,cloud-mqtt,lan,0
102,645.600,cloud-mqtt,lan,0
103,645.700,cloud-mqtt,lan,0
104,645.700,cloud-mqtt,lan,0
105,645.700,cloud-mqtt,lan,0
106,645.700,cloud-mqtt,lan,0
107,645.800,cloud-mqtt,lan,0
108,645.900,cloud-mqtt,lan,0
109,645.900,cloud-mqtt,lan,0
110,824.100,cloud-mqtt,lan,0
111,824.100,cloud-mqtt,lan,0
112,824.400,cloud-mqtt,lan,0
113,824.600,cloud-mqtt,lan,0
114,824.800,cloud-mqtt,lan,0
115,824.900,cloud-mqtt,lan,0
116,825.100,cloud-mqtt,lan,0
117,825.400,cloud-mqtt,lan,0
118,825.700,cloud-mqtt,lan,0
119,825.800,cloud-mqtt,lan,0
120,825.800,cloud-mqtt,lan,0
121,826.000,cloud-mqtt,lan,0
122,826.000,cloud-mqtt,lan,0
123,825.900,cloud-mqtt,lan,0
124,826.000,cloud-mqtt,lan,0
125,826.000,cloud-mqtt,lan,0
126,826.000,cloud-mqtt,lan,0
127,826.000,cloud-mqtt,lan,0
128,826.100,cloud-mqtt,lan,0
129,826.100,cloud-mqtt,lan,0
130,826.100,cloud-mqtt,lan,0
131,826.100,cloud-mqtt,lan,0
132,826.300,cloud-mqtt,lan,0
133,826.400,cloud-mqtt,lan,0
134,826.400,cloud-mqtt,lan,0
135,826.400,cloud-mqtt,lan,0
136,826.400,cloud-mqtt,lan,0
137,826.400,cloud-mqtt,lan,0
138,826.300,cloud-mqtt,lan,0
