seq,rtt_ms,transport,network,relayed
0,80.600,p2p-browser,lan,0
1,80.500,p2p-browser,lan,0
2,80.500,p2p-browser,lan,0
3,80.500,p2p-browser,lan,0
4,80.500,p2p-browser,lan,0
5,80.500,p2p-browser,lan,0
6,80.500,p2p-browser,lan,0
7,80.600,p2p-browser,lan,0
8,80.600,p2p-browser,lan,0
9,80.600,p2p-browser,lan,0
10,359.700,p2p-browser,lan,0
11,360.000,p2p-browser,lan,0
12,360.100,p2p-browser,lan,0
13,360.100,p2p-browser,lan,0
14,360.100,p2p-browser,lan,0
15,360.300,p2p-browser,lan,0
16,360.300,p2p-browser,lan,0
17,438.800,p2p-browser,lan,0
18,438.900,p2p-browser,lan,0
19,440.200,p2p-browser,lan,0
20,440.200,p2p-browser,lan,0
21,440.400,p2p-browser,lan,0
22,440.700,p2p-browser,lan,0
23,440.800,p2p-browser,lan,0
24,440.800,p2p-browser,lan,0
25,440.800,p2p-browser,lan,0
26,440.800,p2p-browser,lan,0
27,440.900,p2p-browser,lan,0
28,440.900,p2p-browser,lan,0
29,441.000,p2p-browser,lan,0
30,441.000,p2p-browser,lan,0
31,441.000,p2p-browser,lan,0
32,441.100,p2p-browser,lan,0
33,441.100,p2p-browser,lan,0
34,441.200,p2p-browser,lan,0
35,441.300,p2p-browser,lan,0
36,441.300,p2p-browser,lan,0
37,441.400,p2p-browser,lan,0
38,441.400,p2p-browser,lan,0
39,441.400,p2p-browser,lan,0
40,441.300,p2p-browser,lan,0
41,441.300,p2p-browser,lan,0
42,441.300,p2p-browser,lan,0
43,441.300,p2p-browser,lan,0
44,441.500,p2p-browser,lan,0
45,441.500,p2p-browser,lan,0
46,459.000,p2p-browser,lan,0
47,459.000,p2p-browser,lan,0
48,459.000,p2p-browser,lan,0
49,459.000,p2p-browser,lan,0
50,459.100,p2p-browser,lan,0
51,459.200,p2p-browser,lan,0
52,459.200,p2p-browser,lan,0
53,459.300,p2p-browser,lan,0
54,459.300,p2p-browser,lan,0
55,459.300,p2p-browser,lan,0
56,459.300,p2p-browser,lan,0
57,459.300,p2p-browser,lan,0
58,459.400,p2p-browser,lan,0
59,459.500,p2p-browser,lan,0
60,459.500,p2p-browser,lan,0
61,459.500,p2p-browser,lan,0
62,459.500,p2p-browser,lan,0
63,459.500,p2p-browser,lan,0
64,459.600,p2p-browser,lan,0
