seq,rtt_ms,transport,network,relayed
0,612.900,cloud-mqtt,cross-isp,0
1,673.900,cloud-mqtt,cross-isp,0
2,687.000,cloud-mqtt,cross-isp,0
3,677.100,cloud-mqtt,cross-isp,0
4,666.400,cloud-mqtt,cross-isp,0
5,656.000,cloud-mqtt,cross-isp,0
6,645.300,cloud-mqtt,cross-isp,0
7,634.000,cloud-mqtt,cross-isp,0
8,623.500,cloud-mqtt,cross-isp,0
9,613.200,cloud-mqtt,cross-isp,0
10,540.800,cloud-mqtt,cross-isp,0
11,530.600,cloud-mqtt,cross-isp,0
12,520.300,cloud-mqtt,cross-isp,0
13,509.300,cloud-mqtt,cross-isp,0
14,497.700,cloud-mqtt,cross-isp,0
15,546.300,cloud-mqtt,cross-isp,0
16,535.500,cloud-mqtt,cross-isp,0
17,547.500,cloud-mqtt,cross-isp,0
18,540.800,cloud-mqtt,cross-isp,0
19,529.900,cloud-mqtt,cross-isp,0
20,519.000,cloud-mqtt,cross-isp,0
21,508.300,cloud-mqtt,cross-isp,0
22,497.300,cloud-mqtt,cross-isp,0
23,700.500,cloud-mqtt,cross-isp,0
24,690.000,cloud-mqtt,cross-isp,0
25,687.600,cloud-mqtt,cross-isp,0
26,677.300,cloud-mqtt,cross-isp,0
27,666.100,cloud-mqtt,cross-isp,0
28,655.500,cloud-mqtt,cross-isp,0
29,644.100,cloud-mqtt,cross-isp,0
30,633.800,cloud-mqtt,cross-isp,0
31,623.100,cloud-mqtt,cross-isp,0
32,612.600,cloud-mqtt,cross-isp,0
33,602.000,cloud-mqtt,cross-isp,0
34,677.100,cloud-mqtt,cross-isp,0
35,674.400,cloud-mqtt,cross-isp,0
36,663.700,cloud-mqtt,cross-isp,0
37,653.000,cloud-mqtt,cross-isp,0
38,642.200,cloud-mqtt,cross-isp,0
39,631.700,cloud-mqtt,cross-isp,0
40,621.100,cloud-mqtt,cross-isp,0
41,610.800,cloud-mqtt,cross-isp,0
42,600.800,cloud-mqtt,cross-isp,0
43,590.500,cloud-mqtt,cross-isp,0
44,579.500,cloud-mqtt,cross-isp,0
45,568.800,cloud-mqtt,cross-isp,0
46,558.600,cloud-mqtt,cross-isp,0
47,547.200,cloud-mqtt,cross-isp,0
48,840.600,cloud-mqtt,cross-isp,0
49,830.400,cloud-mqtt,cross-isp,0
50,819.300,cloud-mqtt,cross-isp,0
51,808.800,cloud-mqtt,cross-isp,0
52,798.400,cloud-mqtt,cross-isp,0
53,788.300,cloud-mqtt,cross-isp,0
54,777.100,cloud-mqtt,cross-isp,0
55,766.500,cloud-mqtt,cross-isp,0
56,755.600,cloud-mqtt,cross-isp,0
57,745.300,cloud-mqtt,cross-isp,0
58,734.300,cloud-mqtt,cross-isp,0
59,723.200,cloud-mqtt,cross-isp,0
60,712.900,cloud-mqtt,cross-isp,0
61,701.700,cloud-mqtt,cross-isp,0
62,690.800,cloud-mqtt,cross-isp,0
63,680.400,cloud-mqtt,cross-isp,0
64,669.700,cloud-mqtt,cross-isp,0
65,664.700,cloud-mqtt,cross-isp,0
66,671.100,cloud-mqtt,cross-isp,0
67,660.900,cloud-mqtt,cross-isp,0
68,650.200,cloud-mqtt,cross-isp,0
69,640.000,cloud-mqtt,cross-isp,0
70,628.900,cloud-mqtt,cross-isp,0
71,618.300,cloud-mqtt,cross-isp,0
72,607.500,cloud-mqtt,cross-isp,0
73,595.800,cloud-mqtt,cross-isp,0
74,584.300,cloud-mqtt,cross-isp,0
75,573.600,cloud-mqtt,cross-isp,0
76,562.500,cloud-mqtt,cross-isp,0
77,551.400,cloud-mqtt,cross-isp,0
78,540.300,cloud-mqtt,cross-isp,0
79,529.700,cloud-mqtt,cross-isp,0
80,518.700,cloud-mqtt,cross-isp,0
81,507.600,cloud-mqtt,cross-isp,0
82,497.200,cloud-mqtt,cross-isp,0
