seq,rtt_ms,transport,network,relayed
0,9667.100,p2p-browser,cross-isp,1
1,9650.800,p2p-browser,cross-isp,1
2,9637.400,p2p-browser,cross-isp,1
3,9624.700,p2p-browser,cross-isp,1
4,9613.300,p2p-browser,cross-isp,1
5,9596.500,p2p-browser,cross-isp,1
6,9581.000,p2p-browser,cross-isp,1
7,9564.700,p2p-browser,cross-isp,1
8,9547.900,p2p-browser,cross-isp,1
9,9531.300,p2p-browser,cross-isp,1
10,226.000,p2p-browser,cross-isp,1
11,211.400,p2p-browser,cross-isp,1
12,197.100,p2p-browser,cross-isp,1
13,181.100,p2p-browser,cross-isp,1
14,179.700,p2p-browser,cross-isp,1
15,167.400,p2p-browser,cross-isp,1
16,152.300,p2p-browser,cross-isp,1
17,152.700,p2p-browser,cross-isp,1
18,142.800,p2p-browser,cross-isp,1
19,154.900,p2p-browser,cross-isp,1
20,153.000,p2p-browser,cross-isp,1
21,141.800,p2p-browser,cross-isp,1
22,200.300,p2p-browser,cross-isp,1
23,181.400,p2p-browser,cross-isp,1
24,163.300,p2p-browser,cross-isp,1
25,213.800,p2p-browser,cross-isp,1
26,230.200,p2p-browser,cross-isp,1
27,214.200,p2p-browser,cross-isp,1
28,197.700,p2p-browser,cross-isp,1
29,185.400,p2p-browser,cross-isp,1
30,201.000,p2p-browser,cross-isp,1
31,193.800,p2p-browser,cross-isp,1
32,183.200,p2p-browser,cross-isp,1
33,172.800,p2p-browser,cross-isp,1
34,160.700,p2p-browser,cross-isp,1
35,151.100,p2p-browser,cross-isp,1
36,164.500,p2p-browser,cross-isp,1
37,167.000,p2p-browser,cross-isp,1
38,150.400,p2p-browser,cross-isp,1
39,155.800,p2p-browser,cross-isp,1
40,149.600,p2p-browser,cross-isp,1
41,145.000,p2p-browser,cross-isp,1
42,150.900,p2p-browser,cross-isp,1
43,153.300,p2p-browser,cross-isp,1
44,171.900,p2p-browser,cross-isp,1
45,166.700,p2p-browser,cross-isp,1
46,151.700,p2p-browser,cross-isp,1
47,142.200,p2p-browser,cross-isp,1
48,142.100,p2p-browser,cross-isp,1
49,159.900,p2p-browser,cross-isp,1
50,156.900,p2p-browser,cross-isp,1
51,156.400,p2p-browser,cross-isp,1
52,145.300,p2p-browser,cross-isp,1
53,152.800,p2p-browser,cross-isp,1
54,168.000,p2p-browser,cross-isp,1
55,150.900,p2p-browser,cross-isp,1
56,156.700,p2p-browser,cross-isp,1
57,166.700,p2p-browser,cross-isp,1
58,177.200,p2p-browser,cross-isp,1
59,160.300,p2p-browser,cross-isp,1
60,143.700,p2p-browser,cross-isp,1
61,146.600,p2p-browser,cross-isp,1
62,477.600,p2p-browser,cross-isp,1
63,460.800,p2p-browser,cross-isp,1
64,444.700,p2p-browser,cross-isp,1
65,429.400,p2p-browser,cross-isp,1
66,413.000,p2p-browser,cross-isp,1
67,401.000,p2p-browser,cross-isp,1
68,389.800,p2p-browser,cross-isp,1
69,373.500,p2p-browser,cross-isp,1
70,355.300,p2p-browser,cross-isp,1
71,339.300,p2p-browser,cross-isp,1
72,324.700,p2p-browser,cross-isp,1
73,308.600,p2p-browser,cross-isp,1
74,292.100,p2p-browser,cross-isp,1
75,276.800,p2p-browser,cross-isp,1
76,266.400,p2p-browser,cross-isp,1
77,254.000,p2p-browser,cross-isp,1
78,242.900,p2p-browser,cross-isp,1
79,226.000,p2p-browser,cross-isp,1
80,212.600,p2p-browser,cross-isp,1
81,201.200,p2p-browser,cross-isp,1
82,185.600,p2p-browser,cross-isp,1
83,174.000,p2p-browser,cross-isp,1
84,156.800,p2p-browser,cross-isp,1
85,205.600,p2p-browser,cross-isp,1
86,590.900,p2p-browser,cross-isp,1
87,575.400,p2p-browser,cross-isp,1
88,558.700,p2p-browser,cross-isp,1
89,541.300,p2p-browser,cross-isp,1
90,525.300,p2p-browser,cross-isp,1
91,514.900,p2p-browser,cross-isp,1
92,498.200,p2p-browser,cross-isp,1
93,482.200,p2p-browser,cross-isp,1
94,470.900,p2p-browser,cross-isp,1
95,457.900,p2p-browser,cross-isp,1
96,447.000,p2p-browser,cross-isp,1
97,430.600,p2p-browser,cross-isp,1
98,413.500,p2p-browser,cross-isp,1
99,397.200,p2p-browser,cross-isp,1
100,380.700,p2p-browser,cross-isp,1
101,364.200,p2p-browser,cross-isp,1
102,348.300,p2p-browser,cross-isp,1
103,331.900,p2p-browser,cross-isp,1
104,315.500,p2p-browser,cross-isp,1
105,299.300,p2p-browser,cross-isp,1
106,282.200,p2p-browser,cross-isp,1
107,266.100,p2p-browser,cross-isp,1
108,250.100,p2p-browser,cross-isp,1
109,240.200,p2p-browser,cross-isp,1
110,253.700,p2p-browser,cross-isp,1
111,241.400,p2p-browser,cross-isp,1
112,225.100,p2p-browser,cross-isp,1
113,208.400,p2p-browser,cross-isp,1
114,1677.600,p2p-browser,cross-isp,1
115,1666.700,p2p-browser,cross-isp,1
116,1655.300,p2p-browser,cross-isp,1
117,1643.900,p2p-browser,cross-isp,1
118,1625.800,p2p-browser,cross-isp,1
119,1609.300,p2p-browser,cross-isp,1
120,1592.500,p2p-browser,cross-isp,1
121,1975.800,p2p-browser,cross-isp,1
122,1959.100,p2p-browser,cross-isp,1
123,1948.900,p2p-browser,cross-isp,1
124,1937.300,p2p-browser,cross-isp,1
125,1922.700,p2p-browser,cross-isp,1
126,1911.900,p2p-browser,cross-isp,1
127,1895.400,p2p-browser,cross-isp,1
128,1879.100,p2p-browser,cross-isp,1
129,1862.600,p2p-browser,cross-isp,1
130,1846.900,p2p-browser,cross-isp,1
131,1835.900,p2p-browser,cross-isp,1
132,1824.400,p2p-browser,cross-isp,1
133,1813.700,p2p-browser,cross-isp,1
134,1797.600,p2p-browser,cross-isp,1
135,1781.600,p2p-browser,cross-isp,1
136,1764.900,p2p-browser,cross-isp,1
137,1748.600,p2p-browser,cross-isp,1
138,1732.100,p2p-browser,cross-isp,1
139,1719.100,p2p-browser,cross-isp,1
140,1707.100,p2p-browser,cross-isp,1
141,1689.900,p2p-browser,cross-isp,1
142,1678.300,p2p-browser,cross-isp,1
143,1667.300,p2p-browser,cross-isp,1
144,1656.400,p2p-browser,cross-isp,1
145,1640.000,p2p-browser,cross-isp,1
