seq,rtt_ms,transport,network,relayed
0,54.000,p2p-browser,lan,0
1,42.900,p2p-browser,lan,0
2,32.900,p2p-browser,lan,0
3,21.600,p2p-browser,lan,0
4,10.200,p2p-browser,lan,0
5,25.200,p2p-browser,lan,0
6,14.200,p2p-browser,lan,0
7,8.000,p2p-browser,lan,0
8,10.700,p2p-browser,lan,0
9,11.200,p2p-browser,lan,0
10,12.500,p2p-browser,lan,0
11,10.200,p2p-browser,lan,0
12,9.600,p2p-browser,lan,0
13,8.600,p2p-browser,lan,0
14,10.300,p2p-browser,lan,0
15,11.800,p2p-browser,lan,0
16,16.800,p2p-browser,lan,0
17,6.200,p2p-browser,lan,0
18,6.000,p2p-browser,lan,0
19,7.200,p2p-browser,lan,0
20,10.800,p2p-browser,lan,0
21,11.800,p2p-browser,lan,0
22,6.600,p2p-browser,lan,0
23,11.400,p2p-browser,lan,0
24,10.600,p2p-browser,lan,0
25,12.900,p2p-browser,lan,0
26,11.500,p2p-browser,lan,0
27,11.200,p2p-browser,lan,0
28,9.700,p2p-browser,lan,0
29,11.200,p2p-browser,lan,0
30,7.500,p2p-browser,lan,0
31,10.000,p2p-browser,lan,0
32,10.700,p2p-browser,lan,0
33,9.600,p2p-browser,lan,0
34,6.300,p2p-browser,lan,0
35,12.900,p2p-browser,lan,0
36,8.700,p2p-browser,lan,0
37,10.700,p2p-browser,lan,0
38,8.500,p2p-browser,lan,0
39,7.400,p2p-browser,lan,0
40,15.500,p2p-browser,lan,0
41,11.000,p2p-browser,lan,0
42,10.400,p2p-browser,lan,0
43,7.400,p2p-browser,lan,0
44,49.400,p2p-browser,lan,0
45,38.700,p2p-browser,lan,0
46,27.900,p2p-browser,lan,0
47,17.300,p2p-browser,lan,0
48,6.200,p2p-browser,lan,0
49,8.600,p2p-browser,lan,0
50,20.700,p2p-browser,lan,0
51,9.300,p2p-browser,lan,0
52,44.500,p2p-browser,lan,0
53,40.700,p2p-browser,lan,0
54,30.300,p2p-browser,lan,0
55,18.700,p2p-browser,lan,0
56,11.000,p2p-browser,lan,0
57,43.100,p2p-browser,lan,0
58,54.300,p2p-browser,lan,0
59,43.400,p2p-browser,lan,0
60,33.000,p2p-browser,lan,0
61,53.200,p2p-browser,lan,0
62,42.700,p2p-browser,lan,0
63,31.200,p2p-browser,lan,0
64,20.300,p2p-browser,lan,0
65,9.800,p2p-browser,lan,0
66,6.800,p2p-browser,lan,0
67,10.600,p2p-browser,lan,0
68,12.400,p2p-browser,lan,0
69,9.100,p2p-browser,lan,0
70,9.200,p2p-browser,lan,0
71,9.700,p2p-browser,lan,0
72,8.000,p2p-browser,lan,0
73,9.200,p2p-browser,lan,0
74,7.900,p2p-browser,lan,0
